Carly Rae Jepsen,Call Me Maybe,"Teen pop, Pop","Power pop, Synth-pop",Pop
Carly Rae Jepsen,Cut to the Feeling,Pop,"Power pop, Synth-pop",Pop
Carly Rae Jepsen,I Really Like You,Pop,"Dance-pop, Synth-pop",Pop
Carly Rae Jepsen,Run Away with Me,Pop,"Synth-pop, Dance-pop",Pop
Carly Rae Jepsen,This Kiss,"Teen pop, Pop","Dance-pop, Nu-disco",Pop
Carly Rae Jepsen,Tonight I'm Getting Over You,Pop,Electrohouse,Dance-Pop
Carly Rae Jepsen,Your Type,Pop,"Synth-pop, Electropop",Pop
Cascada,Evacuate the Dancefloor,"Electropop, Pop","Electropop, Dance-pop",Dance-Pop
Cascada,Everytime We Touch [Candlelight Mix],,,Pop
Cascada,The Rhythm Of The Night,"Dance/Electronic, Dance pop",,Dance-Pop
Cash Cash,I Like It Loud,House,,Dance/Electronic
Cash Cash,Surrender,"House, Dance/Electronic","EDM, Progressive house",Dance/Electronic
Cash Cash ft. ADG,Sexin' On The Dance Floor,,,Dance/Electronic
Cash Cash ft. Bebe Rexha,Take Me Home,"House, Dance/Electronic","EDM, Electro house, Progressive house",Dance/Electronic
Cash Cash ft. Conor Maynard,All My Love [Audien Remix],Dance/Electronic,,Dance/Electronic
Cash Cash ft. John Rzeznik,Lightning,"House, Dance/Electronic",,Dance/Electronic
Cash Cash ft. Sofia Reyes,How To Love,Dance/Electronic,,Dance/Electronic
CeeLo Green,Fuck You!,Pop,"Soul, Pop, Funk",Pop
Celeste Buckingham,Run Run Run,"Rock, Pop","Pop, Soul, Breakbeat",Pop
Charli XCX ft. Rita Ora,Doing It,Pop,"Synth-pop, Dance-pop",Pop
Charlie Puth,Attention,"Funk, Pop",Pop rock,Pop
Charlie Puth,How Long,"Funk, Pop",Pop-funk,Pop
Charlie Puth ,"One Call Away [Jason Chen, Marie Digby Cover]",Pop,Pop soul,Pop
Charlie Puth ft. Kehlani,Done For Me,Pop,"Pop, Nu soul",Pop
Charlie Puth ft. Meghan Trainor,Marvin Gaye,Pop,,Pop
Charlie Puth ft. Selena Gomez,"We Don't Talk Anymore [Jason Chen, Megan Nicole Cover]",,Pop,Pop
Cheat Codes ft. Demi Lovato,No Promises,Pop,House,Dance-Pop
Chelsea Cutler,Your Shirt,Pop,,Pop
Chelsea Lankes,Bullet,Pop,,Pop
Chris Brown,Don't Wake Me Up,"Contemporary R&B, R&B/Soul, Pop",EDM,Dance-Pop
Chris Brown,Forever,Pop,Dance-pop,Pop
Chris Brown,Turn Up the Music,"Contemporary R&B, R&B/Soul, Pop","EDM, House, Hi-NRG",Dance/Electronic
Chris Brown,Yeah 3x,"House, R&B/Soul, Dance/Electronic, Rock, Pop, Hip-Hop/Rap","Dance-pop, Europop, Electro house",Dance/Electronic
Chris Wallace,Remember When (Push Rewind),,Pop Rock,Pop
Christina Grimmie,Shrug,Pop,,Pop
Chromeo,Jealous (I Ain't With It),Dance/Electronic,"Electrofunk, Dance-pop",Dance-Pop
CHVRCHES,Miracle [Manila Killa Remix],,,Dance-Pop
Clean Bandit ft. Demi Lovato,Solo,Dance/Electronic,EDM,Dance-Pop
Clean Bandit ft. Jess Glynne,Rather Be,,"Classical crossover, House, Dance-pop, Euro house, Deep house",Dance-Pop
Clean Bandit ft. Zara Larsson,Symphony,"Dance music, Dance-pop, Dance/Electronic","Classical-pop, Dance-pop, Orchestral pop",Dance-Pop
Clean Bandit ft. Zara Larsson,Symphony [Dash Berlin Remix],"Dance music, Dance-pop, Dance/Electronic","Classical-pop, Dance-pop, Orchestral pop",Dance/Electronic
Cobra Starship ft. Sabi,You Make Me Feel,Alternative/Indie,"Dance-pop, Electropop",Dance-Pop
Conrad Sewell,Hold Me Up,,"Pop, Soul, Gospel",Dance-Pop
Daft Punk,One More Time,"French house, Dance/Electronic",French house,Dance/Electronic
Daft Punk ft. Pharrell Williams,Get Lucky,Dance/Electronic,"Disco, Funk",Dance/Electronic
Daniel Kim,2010 Pop Danthology,,,Pop
Daniel Kim,2011 Pop Danthology,,,Pop
Daniel Kim,2012 Pop Danthology,,,Pop
Daniel Kim,2013 Pop Danthology,,,Pop
Daniel Kim,2014 Pop Danthology,,,Pop
Daniel Kim,2015 Pop Danthology,,,Pop
David Guetta ft. Akon,Sexy Bitch,Dance/Electronic,Electro-hop,Dance/Electronic
David Guetta ft. Anne-Marie,Don't Leave Me Alone,Dance/Electronic,Dance-pop,Dance-Pop
"David Guetta ft. Chris Brown, Lil Wayne",I Can Only Imagine,"House, Dance/Electronic","EDM, Hip-house",Dance/Electronic
David Guetta ft. Crystal Nicole,I'm a Machine,"House, Dance/Electronic",,Dance/Electronic
David Guetta ft. Kid Cudi,Memories,Dance/Electronic,"EDM, House",Dance/Electronic
"David Guetta ft. Ne-Yo, Akon",Play Hard [R3hab Remix],"House, Dance/Electronic","Electro house, Dance-pop",Dance/Electronic
David Guetta ft. Nicki Minaj,Turn Me On,"House, Dance/Electronic",EDM,Dance/Electronic
David Guetta ft. Rihanna,Who's That Chick?,Dance/Electronic,Dance-pop,Dance-Pop
David Guetta ft. Usher,Without You [Jason Chen Cover],"House, Dance/Electronic",,Dance-Pop
"David Guetta, Afrojack ft. Charli XCX, French Montana",Dirty Sexy Money,Pop music,,Dance-Pop
Delaney Jane,Bad Habits,Pop,,Pop
Demi Lovato,Body Say,Pop,"Dance, R&B",Pop
Demi Lovato,Confident,Pop,"Pop, Pop rock",Pop
Demi Lovato,Neon Lights,"Teen pop, Pop","Dance, Electropop",Dance-Pop
Demi Lovato,Sorry Not Sorry,"Contemporary R&B, Hip-Hop/Rap",,Pop
Deorro ft. Erin McCarley,I Can Be Somebody,Dance/Electronic,,Dance/Electronic
"Deorro, Chris Brown",Five More Hours,"Funk, Dance/Electronic, Pop",,Dance/Electronic
DEV,In the Dark,Pop,Dance-pop,Dance-Pop
DHT ft. Edmée,Listen to Your Heart,"Dance/Electronic, J-pop, Pop","Trance, Eurodance",Pop
Dia Frampton,Walk Away,Pop,,Pop
Dirt Cheap,Turn That Thing Down [Deorro Remix],Dance/Electronic,,Dance/Electronic
Disclosure ft. Lorde,Magnets [A-Trak Remix],,"Electropop, House",Dance/Electronic
Disclosure ft. Sam Smith,Latch,"House, Dance/Electronic, Pop","Deep house, Future garage, Synth-pop",Dance-Pop
"Disco Killerz, Liquid Todd ft. Hannah Rose",In The Music,Dance/Electronic,,Dance/Electronic
"DJ Snake, AlunaGeorge",You Know You Like It,Dance/Electronic,,Dance/Electronic
"Dr. Dre ft. Eminem, Skylar Grey",I Need a Doctor,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
Dr. Dre ft. Snoop Dogg,Still D.R.E.,"West Coast hip-hop, Hip-Hop/Rap","Gangsta rap, West Coast hip hop",Hip-Hop/Rap
"Drake ft. Lil Wayne, Tyga",The Motto,Hip-Hop/Rap,"Hip hop, Hyphy",Hip-Hop/Rap
"Drake, Kanye West, Lil Wayne, Eminem",Forever,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
Dua Lipa,Don't Start Now,Pop,"Disco, Nu-disco",Pop
Echosmith,Cool Kids,Alternative/Indie,"Indie pop, Pop rock",Alternative/Indie
"Ed Sheeran ft. Chance the Rapper, PnB Rock",Cross Me,Pop,"Pop, R&B",Pop
"Edward Maya, Vika Jigulina",Stereo Love,Dance/Electronic,"Eurodance, Vocal trance",Dance/Electronic
Ella Henderson,Ghost,Pop,Pop,Pop
Elle Winter,Want It All,,,Pop
Ellie Goulding,Lights,Pop,Synth-pop,Pop
Ellie Goulding,Sixteen,Pop,"Pop, EDM, Electropop, Dance-pop",Pop
Ellie Goulding,Something in the Way You Move,"Alternative/Indie, Pop",Electropop,Pop
Eminem,Bagpipes From Baghdad,Hip-Hop/Rap,,Hip-Hop/Rap
Eminem,Lose Yourself,"Hip hop music, Rap rock, Hip-Hop/Rap","Hip hop, Rap rock",Hip-Hop/Rap
Eminem,Not Afraid,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
Eminem,Rap God,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
Eminem,The Real Slim Shady,Hip-Hop/Rap,"Comedy hip hop, Hardcore hip hop",Hip-Hop/Rap
Eminem,The Warning,,Hip hop,Hip-Hop/Rap
Eminem,Without Me,Hip-Hop/Rap,Comedy hip hop,Hip-Hop/Rap
Eminem ft. Nate Dogg,Till I Collapse,Hip-Hop/Rap,Rap rock,Hip-Hop/Rap
Eminem ft. Rihanna,Love the Way You Lie,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
Eminem ft. Rihanna,The Monster,,Hip hop,Hip-Hop/Rap
"Empire Cast ft. Jussie Smollet, Pitbull",No Doubt About It,Pop,,Pop
Enrique Iglesias ft. Pitbull,I Like It,Pop,Electropop,Pop
f(x),All Mine,Pop,EDM,K-Pop
"Far East Movement ft. The Cataracs, DEV",Like a G6,"House, Pop","Electro house, Hip house",Dance/Electronic
Felix Cartal ft. Gabrielle Current,Stop Being Yourself,Dance/Electronic,,Dance/Electronic
Fergie ft. Ludacris,Glamorous,"Pop, Hip-Hop/Rap","Hip hop, R&B",Pop
Fergie ft. Nicki Minaj,You Already Know,Pop,Hip house,Pop-Rap
"Fergie, Q-Tip, GoonRock",A Little Party Never Killed Nobody (All We Got),,"Hip hop, Dubstep",Dance-Pop
Fifth Harmony,That's My Girl,Pop,R&B,Pop
Fifth Harmony ft. Ty Dolla $ign,Work from Home,,"Pop, R&B",Pop
"Flight School, Vega ft. Angeline",One Day,,,Dance/Electronic
Flo Rida,Good Feeling,Pop,"Hip house, Eurodance",Dance-Pop
Flo Rida,I Cry,Pop,Pop-rap,Dance-Pop
Flo Rida,"Turn Around (5, 4, 3, 2, 1)",Pop,Hip hop,Pop-Rap
Flo Rida ft. Akon,Who Dat Girl,Hip-Hop/Rap,"Electro-R&B, Hip hop",Pop-Rap
Flo Rida ft. David Guetta,Club Can't Handle Me,,Hip house,Dance-Pop
"Flo Rida ft. Robin Thicke, Verdine White","I Don't Like It, I Love It",Hip-Hop/Rap,Funk,Pop-Rap
"Flo Rida ft. Sage the Gemini, Lookas",GDFR,,Hip hop,Dance/Electronic
Flo Rida ft. Sia,Wild Ones,Pop,"Dance-pop, Hip house",Dance-Pop
Florence + The Machine,Spectrum (Say My Name) [Calvin Harris Remix],"Alternative/Indie, Pop",Electro house,Dance/Electronic
Flume ft. Tove Lo,Say It [Clean Bandit Remix],"Trip hop, Future bass, Wonky music, Electronica","Wonky, Future bass, Trip hop",Dance/Electronic
Foster The People,Don't Stop (Color on the Walls),,"Indie pop, Alternative rock",Alternative/Indie
Foster The People,Pumped Up Kicks,Alternative/Indie,"Indie pop, Psychedelic pop",Alternative/Indie
Foster The People,Sit Next to Me,"Funk, Indie pop, Neo-psychedelia, Alternative/Indie","Indie pop, Neo-psychedelia, Funk",Alternative/Indie
"Frank Walker, Astrid S",Only When It Rains,,,Dance-Pop
"FRENSHIP, Emily Warren",Capsize,Pop,"Dance-pop, Tropical house",Dance-Pop
"G-Eazy ft. A$AP Rocky, Cardi B",No Limit,Hip-Hop/Rap,"Hip hop, Trap",Hip-Hop/Rap
G-Eazy ft. Charlie Puth,Sober,"Rock, Pop, Hip-Hop/Rap",,Pop-Rap
"G-Eazy, Halsey",Him & I,"Dance/Electronic, Pop, Hip-Hop/Rap",,Pop-Rap
"G-Eazy, Kehlani",Good Life,Pop,Pop-rap,Pop-Rap
Galantis,Runaway (U & I),Dance/Electronic,Progressive house,Dance/Electronic
Glades,Do Right,Alternative/Indie,"Indie pop, Electronic",Dance-Pop
GOLDHOUSE,Over,Dance/Electronic,,Dance/Electronic
Gotye ft. Kimbra,Somebody That I Used To Know,"Alternative/Indie, Pop",Art pop,Alternative/Indie
Grace VanderWaal,So Much More Than This,Pop,,Pop
Gryffin ft. Iselin,Just For a Moment,Dance/Electronic,,Dance/Electronic
Gryffin ft. Ivy Adara,Bye Bye,Dance/Electronic,,Dance-Pop
Gryffin ft. Katie Pearlman,Nobody Compares To You,Dance/Electronic,,Dance/Electronic
"Gryffin, Carly Rae Jepsen",OMG,Dance/Electronic,,Dance/Electronic
"Gryffin, Elley Duhé",Tie Me Down,Dance/Electronic,,Dance-Pop
"Gryffin, Illenium ft. Daya",Feel Good,Dance/Electronic,"EDM, Future bass",Dance/Electronic
Gwen Stefani ft. Akon,The Sweet Escape,,"Ska, Doo-wop",Pop
Hailee Steinfeld,Back to Life,,Electropop,Pop
Hailee Steinfeld ft. DNCE,Rock Bottom,Pop,"Synth-pop, Dance-pop",Pop
"Hailee Steinfeld, Alesso ft. Florida Georgia Line, Watt",Let Me Go,Pop,"Tropical house, Country pop",Pop
"Hailee Steinfeld, Bloodpop",Capital Letters,,"Pop, Dance-pop",Pop
"Hailee Steinfeld, Grey ft. Zedd",Starving,,"Pop, Future bass",Pop
Halsey,Alone,"Alternative/Indie, Electropop",Dark pop,Alternative/Indie
Halsey,Bad At Love,"Alternative/Indie, Electropop",Pop,Alternative/Indie
Halsey,Colors,Electropop,Electropop,Pop
Halsey,Coming Down,Alternative/Indie,,Alternative/Indie
Halsey,Ghost [Lost Kings Remix],Alternative/Indie,Synth-pop,Dance-Pop
Halsey,Haunting,Alternative/Indie,,Alternative/Indie
Halsey,Hurricane [Arty Remix],Alternative/Indie,Synth-pop,Dance-Pop
Halsey,Now or Never [R3hab Remix],Alternative/Indie,"Dark pop, R&B",Dance/Electronic
Halsey,Without Me,Pop,"Pop, R&B",Pop
Havana Brown ft. Pitbull,We Run the Night [Red One Remix],"House, Pop","Dance-pop, Eurodance",Dance/Electronic
Husman ft. Kelly Sweet,Atmosphere,,,Dance/Electronic
Iggy Azalea ft. Charli XCX,Fancy,"Hip house, Pop",Electro-hop,Pop-Rap
Imagine Dragons,Shots [Broiler Remix],Alternative/Indie,"Dance-rock, Synth-pop, New wave",Dance/Electronic
Ivy Adara,Famous,Pop,,Pop
Ivy Adara,Rebels,Pop,,Pop
Jai Wolf ft. Robokid,Drowning,Dance/Electronic,,Dance/Electronic
Jakubi,Can't Afford It All [Kygo Remix],,,Dance/Electronic
Jason Chen ft. Vicki Li,Bittersweet,,,Pop
Jason Derulo,"It Girl [Jason Chen, Megan Nicole Cover]",Pop,"Pop, R&B",Pop
Jason Derulo,Whatcha Say,Contemporary R&B,"Pop, R&B",R&B
Jess Glynne,All I Am,Pop,House,Pop
Jess Glynne,Don't Be So Hard on Yourself,"R&B/Soul, Pop","Dance-pop, Soul, House",Pop
Jess Glynne,Hold My Hand,"R&B/Soul, Pop","Dance-pop, Synth-pop, House",Pop
Jess Glynne,No One,Pop,,Pop
Jess Glynne,Take Me Home,,,Pop
Jess Glynne,Thursday,Pop,,Pop
"Jess Glynne, Jax Jones",One Touch,Pop,House,Dance-Pop
Jessie J,Domino [Jason Chen Cover],,"Electropop, Dance-rock",Pop
Joel Adams,Please Don't Go,Pop,,Pop
JoJo,When Love Hurts,,"Electropop, Dance",Pop
Jonas Blue ft. RAYE,By Your Side,Dance/Electronic,,Dance/Electronic
JP Cooper,September Song,"Pop music, Tropical house","Pop, Tropical house",Pop
Julia Michaels,Heaven,,Pop,Pop
Julia Michaels,Issues,"Synth-pop, Pop",Pop,Pop
Justin Bieber ft. Ludacris,All Around the World,"Teen pop, Pop",Eurodance,Pop
"Justin Bieber, Bloodpop ft. Julia Michaels",Friends,Pop,"Electro, Dance-pop",Pop
Kanye West,POWER,,"Hip hop, Rap rock",Hip-Hop/Rap
Kanye West,Stronger,Hip-Hop/Rap,"Hip hop, Electronica",Hip-Hop/Rap
Kanye West ft. Jamie Foxx,Gold Digger,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
"Kanye West, Jay-Z",Niggas in Paris,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
"Kanye West, Jay-Z, Big Sean",Clique,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
Kaskade ft. Ilsey,Disarm You,Dance/Electronic,,Dance/Electronic
Kate Nash,Merry Happy,Pop,"Indie pop, Alternative rock",Pop
Katherine Ho,Yellow,Pop,,Pop
Katy Perry,Birthday,Pop,"Disco, Dance-pop",Pop
Katy Perry,Firework,Pop,Dance-pop,Pop
Katy Perry,Hot n Cold,,"Pop, Dance-pop",Pop
Katy Perry,I Kissed a Girl,"Pop rock, Pop",Pop rock,Pop
Katy Perry,International Smile,Pop,,Pop
Katy Perry,Last Friday Night (T.G.I.F.),Pop,Dance-pop,Pop
Katy Perry,Never Really Over,Pop,Electropop,Pop
Katy Perry,Roar,Pop,Pop,Pop
Katy Perry,Teenage Dream,Pop,"Electropop, Power pop",Pop
Katy Perry,The One That Got Away,Pop,Pop,Pop
Katy Perry,This Is How We Do,Pop,Dance-pop,Pop
Katy Perry,Wide Awake,Teen pop,Dance-pop,Pop
Katy Perry ft. Juicy J,Dark Horse,,"Trap, Hip hop, Pop electro",Pop
Katy Perry ft. Kanye West,E.T.,Pop,"Electronic, Hip hop",Pop
Katy Perry ft. Skip Marley,Chained to the Rhythm,"Disco, Dancehall, Pop","Pop, Disco, Dancehall",Pop
Katy Perry ft. Snoop Dogg,California Gurls,,"Pop, Disco, Funk",Pop
Ke$ha,C'Mon,Pop,Techno-pop,Pop
Ke$ha,Die Young,Pop,Electropop,Pop
Ke$ha,TiK ToK,Pop,"Electropop, Dance-pop",Pop
Ke$ha,We R Who We R,Pop,Dance-pop,Pop
Ke$ha,Your Love Is My Drug,Pop,"Crunkcore, Dance-pop, Pop",Pop
Kelly Clarkson,Catch My Breath,Pop,Electropop,Pop
Kelly Clarkson,Stronger (What Doesn't Kill You),,"Dance-pop, Electropop",Pop
Kelsea Ballerini,Yeah Boy,"Country, Pop",Country pop,Pop
Kendrick Lamar,HUMBLE.,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
Kid Cudi,Day 'n' Nite [Crookers Remix],Hip-Hop/Rap,"Electro house, Hip house, Bassline",Dance/Electronic
Kim Petras,Heart to Break,Pop,Dance-pop,Pop
Kim Petras,Hillside Boys,Pop,Dance-pop,Pop
Kim Petras,I Don't Want It at All,Pop,Dance-pop,Pop
Klingande,Jubel,Dance/Electronic,"Tropical house, Deep house",Dance/Electronic
Krewella,Alive,"Dance/Electronic, Dubstep","Europop, Progressive house",Dance/Electronic
Krewella,Live for the Night,"Dance/Electronic, Dubstep","Electropop, Electro house, Dubstep, Complextro",Dance/Electronic
Kygo ft. Conrad Sewell,Firestone,"Deep house, Tropical house","Deep house, Tropical house",Dance/Electronic
Kygo ft. Jason Walker,Sunrise,Dance/Electronic,,Dance/Electronic
Kygo ft. JHart,Permanent,Dance/Electronic,,Dance/Electronic
Kygo ft. Julia Michaels,Carry Me,Dance/Electronic,Tropical house,Dance-Pop
Kygo ft. Justin Jesso,Stargazing,"Electronic dance music, Tropical house",,Dance/Electronic
Kygo ft. Kodaline,Raging,Dance/Electronic,"Folktronica, Tropical house",Dance/Electronic
Kygo ft. Maty Noyes,Stay,Dance/Electronic,Tropical house,Dance/Electronic
Kygo ft. Sandro Cavazza,Happy Now,Dance/Electronic,Tropical house,Dance/Electronic
Kygo ft. The Night Game,Kids in Love,Dance/Electronic,Pop rock,Dance/Electronic
Kygo ft. Will Heard,Nothing Left,Dance/Electronic,,Dance/Electronic
"Kygo, Chelsea Cutler",Not Ok,Dance/Electronic,,Dance/Electronic
"Kygo, Ellie Goulding",First Time,Pop,"EDM, Tropical house",Dance-Pop
"Kygo, Imagine Dragons",Born to Be Yours,Dance/Electronic,EDM,Dance/Electronic
"Kygo, Miguel",Remind Me to Forget,Dance/Electronic,"Electro, Tropical house, R&B",Dance/Electronic
"Kygo, Oliver Nelson ft. Bonnie McKee",Riding Shotgun,Dance/Electronic,,Dance/Electronic
"Kygo, Rita Ora",Carry On,Dance/Electronic,"Dance-pop, Tropical house",Dance/Electronic
"Kygo, Selena Gomez",It Ain't Me,"Synth-pop, Dance-pop, Pop","Dance-pop, Electropop, Tropical house",Dance-Pop
"Kygo, Whitney Houston",Higher Love,Pop,Tropical house,Dance-Pop
Kyla La Grange,Cut Your Teeth [Kygo Remix],,Tropical house,Dance/Electronic
La Roux,Bulletproof [Tiborg Remix],Electropop,"Synth-pop, Bitpop",Dance-Pop
Lady Gaga,Applause,Pop,"Electropop, Eurodance",Pop
Lady Gaga,Bad Romance,Pop,"Electropop, Dance-pop",Pop
Lady Gaga,Born This Way,Pop,Electropop,Pop
Lady Gaga,Paparazzi,"Dance/Electronic, Dance pop, Electropop, Pop","Techno-pop, Dance-pop",Pop
Lady Gaga,Poker Face,"Dance/Electronic, Dance pop, Electropop, Pop","Synth-pop, Dance-pop",Pop
Lady Gaga,The Edge of Glory,,"Pop, Electrorock, Disco",Pop
Lady Gaga ft. Colby O'Donis,Just Dance,"Dance/Electronic, Dance pop, Electropop, Pop","Synth-pop, Dance-pop",Pop
Lana Del Rey,Summertime Sadness,"Indie pop, Pop","House, Eurodance",Pop
Lana Del Rey,Young and Beautiful,,,Pop
LANY,Super Far,Electropop,,Pop
Lauv,Chasing Fire,,,Pop
Lauv,The Other,,,Pop
Lauv ft. Julia Michaels,There's No Way,,Bubblegum pop,Pop
Leona Lewis,A Moment Like This,"R&B/Soul, Teen pop, Pop","Pop, R&B",R&B
Leona Lewis,Bleeding Love,,"Pop, R&B",R&B
"Leona Lewis, Avicii",Collide,Pop,House,Dance-Pop
"Liam Payne, Rita Ora",For You,,"Synth-pop, Electropop",Pop
Lizzo ft. Ariana Grande,Good as Hell,Hip-Hop/Rap,,Pop-Rap
Logic,Keanu Reeves,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
Logic,Till the End,Hip-Hop/Rap,,Hip-Hop/Rap
"Logic ft. Alessia Cara, Khalid",1-800-273-8255,,"Hip hop, Pop",Pop-Rap
"Logic ft. Black Thought, Chuck D, Big Lenbo, No I.D.",America,Hip-Hop/Rap,,Hip-Hop/Rap
Logic ft. Castro,Ballin,Hip-Hop/Rap,,Hip-Hop/Rap
Logic ft. Ryan Tedder,One Day,,Pop rap,Pop-Rap
"Logic ft. Wale, John Lindahl",100 Miles & Running,Hip-Hop/Rap,,Hip-Hop/Rap
Logic ft. Wu Tang Clan,Wu Tang Forever,Hip-Hop/Rap,Hip hop,Hip-Hop/Rap
